"Interviewee","Credentials","Affiliation","Education","Nationality","Area of Expertise","Approximate Time","Location","Credibility","Claims of UFOs","Interviewer/Recording Details"
"Bob Lazar","Former Area 51 employee and whistleblower on alleged UFO reverse engineering","","","United States","","1989","United States","Controversial","",""
"Dr. Steven Greer","Founder of the Disclosure Project advocating for government transparency on UFOs","","","United States","","1990s-present","United States","Controversial","",""
"Luis Elizondo","Former director of the Advanced Aerospace Threat Identification Program (AATIP)","To the Stars Academy of Arts and Science","","United States","","2010s-present","United States","Credible","",""
"Commander David Fravor","Retired U.S. Navy pilot who witnessed the Tic Tac UFO incident","","","United States","","2004","United States","Credible","",""
"Leslie Kean","Investigative journalist and author of ""UFOs: Generals, Pilots, and Government Officials Go on the Record""","","","United States","","2010s-present","United States","Credible","",""
"Robert Hastings","Researcher and author specializing in UFOs and nuclear weapons","","","United States","","1980s-present","United States","Credible","",""
"Dr. Jacques Vallée","Computer scientist, UFO researcher, and author","","","France/United States","","1960s-present","France/United States","Credible","",""
"Dr. J. Allen Hynek","Astronomer and UFO researcher, founder of the Center for UFO Studies","","","United States","","1940s-1980s","United States","Credible","",""
"Dr. Edgar Mitchell","Apollo 14 astronaut and advocate for UFO disclosure","","","United States","","1970s-2010s","United States","Credible","",""
"Dr. Robert Wood","Retired McDonnell Douglas Aerospace engineer and UFO researcher","","","United States","","1990s-present","United States","Credible","",""
"Nick Pope","Former UK Ministry of Defense official investigating UFO sightings","","","United Kingdom","","1990s-present","United Kingdom","Credible","",""
"John Greenewald Jr.","Founder of The Black Vault, an online repository of declassified UFO documents","","","United States","","1990s-present","United States","Credible","",""
"Dr. Eric Davis","Astrophysicist and researcher on advanced propulsion and UFOs","","","United States","","1990s-present","United States","Credible","",""
"Stanton Friedman","Nuclear physicist and prominent UFO researcher","","","Canada","","1960s-2010s","Cantaada","Credible","",""
"Dr. Michio Kaku","Theoretical physicist and popular science communicator","","","United States","","2000s-present","United States","Credible","",""
"Dr. John E. Mack","Harvard psychiatrist and researcher of alien abduction experiences","","","United States","","1980s-2000s","United States","Credible","",""
