# Incident: The name or title of the UFO incident.
# Year: The year in which the UFO incident occurred.
# Location: The location where the UFO incident took place.
# Description: A brief description or summary of the UFO incident.
# Witnesses: The individuals or groups who witnessed the UFO incident.
# References: Any relevant sources or references related to the UFO incident for further investigation or verification.
# Type: The type or nature of the UFO incident, such as sighting, encounter, abduction, crash retrieval, etc.
# Classification: The classification or categorization of the UFO incident, such as military, civilian, scientific, etc.
# Debunked: Indicates whether the UFO incident has been debunked or disproven.
# Evidence: Any available evidence or supporting materials related to the UFO incident, such as photographs, videos, physical traces, etc.
# Investigations: Any official or unofficial investigations conducted regarding the UFO incident.
# Reports: Any official reports or documentation produced as a result of the investigations into the UFO incident.
# Credibility: An assessment of the credibility or reliability of the UFO incident based on available information, including witness testimonies, investigations, evidence, etc.
#
"Incident","Year","Location","Description","Witnesses","References","Type","Classification","Debunked","Evidence","Investigations","Reports","Credibility"
"UFO Incident at Warren Air Force Base","1976","Wyoming, United States","Security personnel and missile technicians at Warren Air Force Base witnessed a UFO hovering over a missile launch control facility. The UFO emitted beams of light and caused disruptions in missile systems, rendering them temporarily non-functional.","Security personnel, missile technicians","Hastings, R. (2008). UFOs and Nukes: Extraordinary Encounters at Nuclear Weapons Sites.","Close Encounter","Military","Not debunked","N/A","N/A","N/A","High"
"UFO Incident at Fe Warren Air Force Base","2013","Wyoming, United States","Security personnel at Fe Warren Air Force Base reported sightings of a UFO over a missile launch facility. Witnesses described a silent, triangular-shaped object with pulsating lights. The UFO caused temporary disruptions in missile systems and was observed for an extended period before disappearing.","Security personnel, missile technicians","Hastings, R. (2013). UFOs and Nukes: The Secret Link Revealed.","Close Encounter","Military","Not debunked","N/A","N/A","N/A","High"
"UFO Incident at SAC Base","1980","Kansas, United States","A security guard at a Strategic Air Command (SAC) base witnessed a UFO hovering near a nuclear weapons storage facility. The UFO emitted a bright light and appeared to interact with the security perimeter. The sighting caused disruptions in communication systems and elevated security protocols.","Security personnel","Salas, R. (2010). Faded Giant: The 1967 Missile/UFO Incidents.","Close Encounter","Military","Not debunked","N/A","N/A","N/A","High"
"UFO Incident at Malmstrom Air Force Base","2010","Montana, United States","Security personnel at Malmstrom Air Force Base reported sightings of a bright, circular object in the sky near a missile launch facility. The UFO was observed maneuvering at high speeds and caused temporary disruptions in missile systems.","Security personnel, missile technicians","Hastings, R. (2010). UFOs and Nukes: A Documented History of U.S. Nuclear Weapons-Related Incidents.","Distant Observation","Military","Not debunked","N/A","N/A","N/A","High"
"UFO Incident at Ramey Air Force Base","1969","Puerto Rico","Military personnel stationed at Ramey Air Force Base reported sightings of a metallic, disc-shaped UFO near a nuclear weapons storage area. Witnesses observed the object performing highly unusual maneuvers before disappearing. The incident was witnessed by multiple individuals and caused temporary disruptions in communication systems.","Military personnel, civilian witnesses","Salas, R. (2010). Faded Giant: The 1967 Missile/UFO Incidents.","Close Encounter","Military and Civilian","Not debunked","N/A","N/A","N/A","High"
"UFO Incident at Kirtland Air Force Base","1980","New Mexico, United States","Security personnel at Kirtland Air Force Base reported a series of UFO sightings near a nuclear weapons storage facility. Witnesses observed strange lights and objects maneuvering in the sky. The sightings were accompanied by disruptions in communication systems and elevated security protocols.","Security personnel, military personnel","Hastings, R. (2008). UFOs and Nukes: Extraordinary Encounters at Nuclear Weapons Sites.","Distant Observation","Military","Not debunked","N/A","N/A","N/A","High"
"UFO Incident at Ellsworth Air Force Base","2015","South Dakota, United States","Security personnel at Ellsworth Air Force Base reported a UFO sighting near a nuclear missile launch facility. Witnesses observed a bright, spherical object in the sky that exhibited high-speed movements and caused temporary disruptions in missile systems.","Security personnel","Hastings, R. (2015). UFOs and Nukes: The Secret Link Revealed.","Close Encounter","Military","Not debunked","N/A","N/A","N/A","High"
"UFO Incident at Vandenberg Air Force Base","1964","California, United States","Missile technicians at Vandenberg Air Force Base witnessed a UFO hovering above a nuclear missile launch facility. The object emitted a pulsating red light and appeared to interact with the missile systems, causing temporary malfunctions.","Missile technicians, military personnel","Hastings, R. (
"Foo Fighters","1940s","Worldwide","During World War II, pilots from various countries reported seeing unexplained aerial phenomena known as ""foo fighters"" that appeared as glowing orbs or metallic objects.","Various military pilots and personnel","N/A","Close Encounter","Military","Not debunked","N/A","N/A","N/A","High"
"The Battle of Los Angeles","1942","Los Angeles, California","Reports of unidentified objects over Los Angeles during World War II, resulting in an anti-aircraft artillery barrage.","Multiple eyewitnesses and military personnel","N/A","Close Encounter","Military","Not debunked","N/A","N/A","N/A","High"
"Kenneth Arnold Sighting","1947","Mount Rainier, Washington","Private pilot Kenneth Arnold reported seeing crescent-shaped objects flying at high speeds, coining the term ""flying saucer.""","Kenneth Arnold","N/A","Close Encounter","Civilian","Not debunked","N/A","N/A","N/A","High"
"Roswell Incident","1947","Roswell, New Mexico","Alleged crash of a UFO and claims of a government cover-up.","Witnesses: Mac Brazel, Jesse Marcel","N/A","Crash Retrieval","Civilian","Not debunked","N/A","N/A","N/A","High"
"The Washington, D.C. UFO Incident","1952","Washington, D.C.","Multiple UFO sightings over the U.S. capital, witnessed by both military personnel and civilians, leading to significant media coverage and government investigations.","Various eyewitnesses and military personnel","N/A","Close Encounter","Military and Civilian","Not debunked","N/A","N/A","N/A","High"
"The Lubbock Lights","1951","Lubbock, Texas","Formation of lights observed flying over the city, investigated by scientists.","Multiple eyewitnesses","N/A","Distant Observation","Civilian","Not debunked","N/A","N/A","N/A","High"
"The McMinnville UFO Photographs","1950","McMinnville, Oregon","Photographs captured by Paul Trent of a disc-shaped object in the sky.","Paul Trent","N/A","Distant Observation","Civilian","Not debunked","N/A","N/A","N/A","High"
"The Shag Harbor Incident","1967","Shag Harbor, Nova Scotia","Unidentified object observed crashing into the waters of Shag Harbor, involving multiple witnesses and a subsequent underwater search operation.","Multiple eyewitnesses","N/A","Close Encounter","Civilian","Not debunked","N/A","N/A","N/A","High"
"Betty and Barney Hill Abduction","1961","New Hampshire","Claimed abduction by extraterrestrial beings, supported by hypnosis sessions.","Betty and Barney Hill","N/A","Abduction","Civilian","Not debunked","N/A","N/A","N/A","High"
"The Kecksburg Incident","1965","Kecksburg, Pennsylvania","Reports of an object crashing into the woods near Kecksburg, often referred to as ""Pennsylvania's Roswell.""","Multiple eyewitnesses","N/A","Close Encounter","Civilian","Not debunked","N/A","N/A","N/A","High"
"The Travis Walton Abduction","1975","Apache-Sitgreaves National Forest, Arizona","Travis Walton claimed to have been abducted by a UFO while working as a logger.","Travis Walton","N/A","Abduction","Civilian","Not debunked","N/A","N/A","N/A","High"
"The Kaikoura Lights","1978","Kaikoura, New Zealand","UFO lights and objects witnessed by airplane passengers, crew, and radar operators.","Multiple airplane passengers, crew, and radar operators","N/A","Distant Observation","Military and Civilian","Not debunked","N/A","N/A","N/A","High"
"The Ruaumoko Lights","1978","Kaikoura, New Zealand","Lights observed by a New Zealand film crew during the filming of a documentary, capturing footage of unidentified aerial phenomena in the vicinity of Kaikoura.","Film crew","N/A","Distant Observation","Civilian","Not debunked","N/A","N/A","N/A","High"
"The Cash-Landrum Incident","1980","Huffman, Texas","Witnesses encountered a diamond-shaped object emitting flames and intense heat, experiencing physical symptoms and radiation effects.","Betty Cash, Vickie Landrum, Colby Landrum","N/A","Close Encounter","Civilian","Not debunked","N/A","N/A","N/A","High"
