# "Organization ID" (Integer): Unique identifier for the organization.
# "Name" (String): Name of the organization.
# "Description" (String): Description of the organization.
# "Type" (String): Type of organization (Government, Commercial, or Both).
# "Ownership" (String): Ownership status of the organization (Publicly Traded, Privately Owned).
# "Executives" (String): Names of executives associated with the organization.
# "Leaders" (String): Names of leaders associated with the organization.
# "Founding Date" (String): Date of the organization's founding.
# "Gross Revenue" (String): Estimated annual revenue of the organization.

"Organization ID","Name","Description","Type","Ownership","Executives","Leaders","Founding Date","Gross Revenue"
1,"Apple Inc.","An American multinational technology company, known for its consumer electronics, software, and online services.","Technology","Public","Tim Cook (CEO)","Tim Cook","April 1, 1976","365.71 billion"
2,"Microsoft Corporation","An American multinational technology corporation, known for its software products and services.","Technology","Public","Satya Nadella (CEO)","Satya Nadella","April 4, 1975","168.09 billion"
3,"Amazon.com, Inc.","An American multinational technology company and one of the world's largest online retailers.","Technology","Public","Andy Jassy (CEO)","Andy Jassy","July 5, 1994","386 billion"
4,"Facebook, Inc.","An American social media and technology company, offering a range of social networking and advertising services.","Technology","Public","Mark Zuckerberg (CEO)","Mark Zuckerberg","February 4, 2004","104.97 billion"
5,"Alphabet Inc.","The parent company of Google and several other subsidiaries, focused on technology and innovation.","Technology","Public","Sundar Pichai (CEO)","Sundar Pichai","October 2, 2015","181.69 billion"
6,"Tesla, Inc.","An American electric vehicle and clean energy company, known for its electric cars and renewable energy products.","Automotive","Public","Elon Musk (CEO)","Elon Musk","July 1, 2003","31.54 billion"
7,"Toyota Motor Corporation","A Japanese multinational automotive manufacturer, known for its cars, trucks, and hybrid vehicles.","Automotive","Public","Akio Toyoda (CEO)","Akio Toyoda","August 28, 1937","275.38 billion"
8,"Volkswagen AG","A German multinational automotive manufacturing company, known for its cars, trucks, and commercial vehicles.","Automotive","Public","Herbert Diess (CEO)","Herbert Diess","May 28, 1937","282.76 billion"
9,"General Motors Company","An American multinational automotive manufacturer, known for its cars, trucks, and SUVs.","Automotive","Public","Mary Barra (CEO)","Mary Barra","September 16, 1908","122.49 billion"
10,"Ford Motor Company","An American multinational automotive manufacturer, known for its cars, trucks, and SUVs.","Automotive","Public","Jim Farley (CEO)","Jim Farley","June 16, 1903","127.14 billion"
