# "Person ID" (Integer): Unique identifier for the person.
# "Name" (String): Full name of the person.
# "Age" (Integer): Age of the person at the time of the recording of the encounter.
# "Education Level" (String): Level of education attained by the person.
# "Age at Disclosure" (Integer): Age when the person was involved in disclosing the encounter to the public.
# "Nationality" (String): Nationality of the person.
# "Gender" (String): Gender of the person (Male/Female).
# "Additional Features" (String): Additional features relevant to the psychological profile of the person.
# "Race" (String): 
# "Occupation" (String): 
# "Area of Expertise" (String): 
#
#
"Person ID","Name","Age","Education Level","Age at Disclosure","Nationality","Gender","Additional Features","Race","Occupation","Area of Expertise"
1,"Bob Lazar",40,"Bachelor's Degree",30,"United States","Male","Former Area 51 employee and whistleblower on alleged UFO reverse engineering","","Former Area 51 employee","UFO reverse engineering"
2,"Dr. Steven Greer",45,"Doctorate Degree",35,"United States","Male","Founder of the Disclosure Project advocating for government transparency on UFOs","","Founder of the Disclosure Project","UFO disclosure"
3,"Luis Elizondo",50,"Master's Degree",40,"United States","Male","Former director of the Advanced Aerospace Threat Identification Program (AATIP)","","Former director of AATIP","UFO research and identification"
4,"Commander David Fravor",45,"Bachelor's Degree",35,"United States","Male","Retired U.S. Navy pilot who witnessed the Tic Tac UFO incident","","Retired U.S. Navy pilot","UFO eyewitness and researcher"
5,"Leslie Kean",55,"Bachelor's Degree",45,"United States","Female","Investigative journalist and author of 'UFOs: Generals, Pilots, and Government Officials Go on the Record'","","Investigative journalist and author","UFO research and reporting"
6,"Robert Hastings",60,"Bachelor's Degree",50,"United States","Male","Researcher and author specializing in UFOs and nuclear weapons","","Researcher and author","UFOs and nuclear weapons"
7,"Dr. Jacques Vallée",75,"Doctorate Degree",65,"France/United States","Male","Computer scientist, UFO researcher, and author","","Computer scientist, researcher, and author","UFO research and computer science"
8","Dr. J. Allen Hynek",80,"Doctorate Degree",60,"United States","Male","Astronomer and UFO researcher, founder of the Center for UFO Studies","","Astronomer and UFO researcher","UFO research and astronomy"
9,"Dr. Edgar Mitchell",70,"Doctorate Degree",55,"United States","Male","Apollo 14 astronaut and advocate for UFO disclosure","","Apollo 14 astronaut and advocate","UFO disclosure and space exploration"
